2017-09-03 17:26:31,352 WARN  [SoapUI] Missing folder [D:\EclipseLuna\workspace\CBWSTC\.\ext] for external libraries
2017-09-03 17:26:31,377 INFO  [DefaultSoapUICore] initialized soapui-settings from [C:\Users\Administrator\soapui-settings.xml]
2017-09-03 17:26:31,512 INFO  [SchemaUtils] Loading schema types from [http://localhost:8080/axis2/services/ParkingFeeCalculator?wsdl]
2017-09-03 17:26:31,512 INFO  [SchemaUtils] Getting schema http://localhost:8080/axis2/services/ParkingFeeCalculator?wsdl
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ID' should only be used for attributes (used for element 'ID@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'IDREF' should only be used for attributes (used for element 'IDREF@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ENTITY' should only be used for attributes (used for element 'ENTITY@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'IDREFS' should only be used for attributes (used for element 'IDREFS@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ENTITIES' should only be used for attributes (used for element 'ENTITIES@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ID' should only be used for attributes (used for element 'ID@http://schemas.xmlsoap.org/soap/encoding/').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'IDREF' should only be used for attributes (used for element 'IDREF@http://schemas.xmlsoap.org/soap/encoding/').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ENTITY' should only be used for attributes (used for element 'ENTITY@http://schemas.xmlsoap.org/soap/encoding/').
2017-09-03 17:26:31,647 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'IDREFS' should only be used for attributes (used for element 'IDREFS@http://schemas.xmlsoap.org/soap/encoding/').
2017-09-03 17:26:31,648 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ENTITIES' should only be used for attributes (used for element 'ENTITIES@http://schemas.xmlsoap.org/soap/encoding/').
2017-09-03 17:26:31,663 INFO  [SchemaUtils] Loading schema types from [http://localhost:8080/axis2/services/ParkingFeeCalculator?wsdl]
2017-09-03 17:26:31,664 INFO  [SchemaUtils] Getting schema http://localhost:8080/axis2/services/ParkingFeeCalculator?wsdl
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ID' should only be used for attributes (used for element 'ID@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'IDREF' should only be used for attributes (used for element 'IDREF@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ENTITY' should only be used for attributes (used for element 'ENTITY@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'IDREFS' should only be used for attributes (used for element 'IDREFS@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding12.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ENTITIES' should only be used for attributes (used for element 'ENTITIES@http://www.w3.org/2003/05/soap-encoding').
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ID' should only be used for attributes (used for element 'ID@http://schemas.xmlsoap.org/soap/encoding/').
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'IDREF' should only be used for attributes (used for element 'IDREF@http://schemas.xmlsoap.org/soap/encoding/').
2017-09-03 17:26:31,706 WARN  [SchemaUtils] Error: jar:file:/D:/EclipseLuna/workspace/CBWSTC/lib/soapui-4.0.1.jar!/com/eviware/soapui/resources/xsds/soapEncoding.xsd:0: warning: id-idref-idrefs-entity-entities-notation: For compatibility, type 'ENTITY' should only be used for attributes (used for element 'ENTITY@http://schemas.xmlsoap.org/soap/encoding/').
